SCHOOL_YEAR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,,,154,82.47,12.34
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,,N,61,90.16,4.92
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,,Y,93,77.42,17.2
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,N,,131,82.44,11.45
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,N,N,55,89.09,5.45
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,N,Y,76,77.63,15.79
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,Y,,23,82.61,17.39
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,,Y,Y,17,76.47,23.53
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,,,139,83.45,10.79
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,,N,57,89.47,5.26
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,,Y,82,79.27,14.63
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,N,,117,82.91,10.26
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,N,N,51,88.24,5.88
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,N,Y,66,78.79,13.64
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,Y,,22,86.36,13.64
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,N,Y,Y,16,81.25,18.75
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,Y,,,15,73.33,26.67
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,Y,,Y,11,63.64,36.36
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,Y,N,,14,78.57,21.43
2017-2018,SCH,1,Accomack County,540,Arcadia High,,,Y,N,Y,10,70,30
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,,,,72,86.11,8.33
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,,,N,27,88.89,3.7
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,,,Y,45,84.44,11.11
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,,N,,63,85.71,7.94
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,,N,N,24,87.5,4.17
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,,N,Y,39,84.62,10.26
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,N,,,68,86.76,7.35
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,N,,N,25,88,4
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,N,,Y,43,86.05,9.3
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,N,N,,59,86.44,6.78
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,N,N,N,22,86.36,4.55
2017-2018,SCH,1,Accomack County,540,Arcadia High,,F,N,N,Y,37,86.49,8.11
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,,,82,79.27,15.85
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,,N,34,91.18,5.88
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,,Y,48,70.83,22.92
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,N,,68,79.41,14.71
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,N,N,31,90.32,6.45
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,N,Y,37,70.27,21.62
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,Y,,14,78.57,21.43
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,,Y,Y,11,72.73,27.27
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,,,71,80.28,14.08
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,,N,32,90.63,6.25
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,,Y,39,71.79,20.51
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,N,,58,79.31,13.79
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,N,N,29,89.66,6.9
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,N,Y,29,68.97,20.69
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,Y,,13,84.62,15.38
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,N,Y,Y,10,80,20
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,Y,,,11,72.73,27.27
2017-2018,SCH,1,Accomack County,540,Arcadia High,,M,Y,N,,10,80,20
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,,,,62,79.03,11.29
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,,,N,19,89.47,0
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,,,Y,43,74.42,16.28
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,,N,,60,78.33,11.67
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,,N,N,18,88.89,0
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,,N,Y,42,73.81,16.67
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,N,,,55,80,9.09
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,N,,N,18,88.89,0
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,N,,Y,37,75.68,13.51
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,N,N,,53,79.25,9.43
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,N,N,N,17,88.24,0
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,,N,N,Y,36,75,13.89
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,,,,27,88.89,3.7
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,,,Y,18,88.89,5.56
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,,N,,26,88.46,3.85
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,,N,Y,18,88.89,5.56
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,N,,,26,88.46,3.85
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,N,,Y,18,88.89,5.56
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,N,N,,25,88,4
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,F,N,N,Y,18,88.89,5.56
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,,,,35,71.43,17.14
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,,,N,10,90,0
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,,,Y,25,64,24
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,,N,,34,70.59,17.65
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,,N,N,10,90,0
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,,N,Y,24,62.5,25
2017-2018,SCH,1,Accomack County,540,Arcadia High,3,M,N,,,29,72.41,13.79
